iter	Logloss
0	0.5467708319
1	0.4430860252
2	0.3641307779
3	0.3146611788
4	0.2827865303
5	0.2571349294
6	0.2450484492
7	0.2320400886
8	0.2186326743
9	0.2095298039
10	0.1995787393
11	0.1875241805
12	0.1832899586
13	0.1798423338
14	0.1771991108
15	0.1751525529
16	0.1720779084
17	0.1695240456
18	0.1683191262
19	0.166873202
20	0.1645759217
21	0.1626897239
22	0.16038106
23	0.158974899
24	0.1571525255
25	0.155627743
26	0.1547337039
27	0.1523677893
28	0.1507565025
29	0.1488047532
30	0.147023145
31	0.1454694955
32	0.1432766324
33	0.1416765275
34	0.1397686503
35	0.1383273283
36	0.1365107618
37	0.1354688318
38	0.1342056498
39	0.1327898391
40	0.1309984302
41	0.1290756227
42	0.1275337768
43	0.1264154411
44	0.1254573017
45	0.1246699559
46	0.1233808315
47	0.121878792
48	0.1203214585
49	0.1193511335
50	0.1186195113
51	0.1168130259
52	0.1160193682
53	0.1155508345
54	0.1139483524
55	0.1126706734
56	0.111870025
57	0.1116810348
58	0.1108429074
59	0.1096008217
60	0.1086810695
61	0.1074888585
62	0.107060402
63	0.1062106819
64	0.105660616
65	0.1050566759
66	0.1040338923
67	0.1034903402
68	0.1026883111
69	0.1021195187
70	0.1015430254
71	0.1007632288
72	0.1001500247
73	0.09928547055
74	0.0979929184
75	0.09717018861
76	0.09639352389
77	0.09572810239
78	0.09526171877
79	0.09442441957
80	0.09362332547
81	0.09288863292
82	0.09244435501
83	0.09210752541
84	0.09152182991
85	0.09087680756
86	0.09019453756
87	0.08968598784
88	0.08898822372
89	0.08847083016
90	0.08809882308
91	0.08715170808
92	0.08646610116
93	0.08605921055
94	0.08560862877
95	0.08483924579
96	0.08430721305
97	0.0836115393
98	0.08309133221
99	0.08227199939
100	0.08194477077
101	0.08128324074
102	0.08103540921
103	0.08034122182
104	0.08003458873
105	0.07931142628
106	0.07908055415
107	0.07835856622
108	0.07749201631
109	0.07718328619
110	0.07666101137
111	0.07613308079
112	0.07562811849
113	0.07518558078
114	0.07460519075
115	0.07424246406
116	0.07351225052
117	0.07292866286
118	0.07208315758
119	0.07162966016
120	0.07084205964
121	0.070639427
122	0.07001960135
123	0.0693616644
124	0.06858523433
125	0.06812541327
126	0.06758877495
127	0.06710007766
128	0.06676970231
129	0.06631899638
130	0.0660599833
131	0.06573036939
132	0.06525265851
133	0.0646610202
134	0.06421583641
135	0.06383729541
136	0.06338745428
137	0.06308088661
138	0.0624792072
139	0.06212170364
140	0.06195684323
141	0.06137873446
142	0.06087332567
143	0.06046471509
144	0.05997008751
145	0.05962176238
146	0.0593720023
147	0.05893712942
148	0.05831889239
149	0.05806731183
150	0.05779515135
151	0.05755303343
152	0.0573882316
153	0.0570320588
154	0.05653742015
155	0.05597419634
156	0.05574342195
157	0.05540229438
158	0.05499878728
159	0.05485997248
160	0.05462182355
161	0.05443927608
162	0.05401626112
163	0.05364841832
164	0.05350319804
165	0.05335099279
166	0.05313644335
167	0.05285671283
168	0.05261579449
169	0.05216086311
170	0.0517032369
171	0.05133065892
172	0.05095186813
173	0.05060599339
174	0.0504688705
175	0.05020691847
176	0.05010415861
177	0.04991611931
178	0.04974451676
179	0.04957448496
180	0.04917121814
181	0.04891286546
182	0.04849801428
183	0.04815247426
184	0.04794371141
185	0.04775643891
186	0.04737693239
187	0.04721225105
188	0.04713453811
189	0.04680888919
190	0.04643284475
191	0.04624511431
192	0.04603083599
193	0.0456990296
194	0.04549407796
195	0.04524967283
196	0.04505951575
197	0.04467183068
198	0.04431064683
199	0.04417674276
